"feature","peak_id","mz","mzmin","mzmax","rt","rtmin","rtmax","into","intb","maxo","sn","sample","file_name","adduct_type","M_area"
"FT0028",9880,75.1004439403733,75.1004180908203,75.100471496582,541.251953125,530.544982910156,556.721740722656,5400961.34122591,4962250.8125672,835378.4375,40,25,"190715_Smp_FK180310S77C1-DCM_A.mzML","C13",5209412.36522961
"FT0028",39097,75.1004490544844,75.1004104614258,75.1004867553711,542.069580078125,527.914611816406,552.175170898438,2784225.3809993,NA,487947.375,NA,26,"190715_Smp_FK180310S77C1-DCM_B.mzML","C13",2794439.33042085
"FT0028",10616,75.1003930025585,75.1003570556641,75.1004638671875,543.236145019531,527.032897949219,563.916870117188,7731621.8923218,6605880.24328924,1104887.125,29,27,"190715_Smp_FK180310S77C1-DCM_C.mzML","C13",7543566.46926928
"FT0028",10974,75.1003849824107,75.1003723144531,75.1004257202148,541.412475585938,530.706909179688,553.01416015625,8130817.82249149,7260774.43400092,1182164,59,28,"190715_Smp_FK180310S80C1-25m_A.mzML","C13",7864127.02800655
"FT0028",11362,75.1004708133037,75.1004333496094,75.1004943847656,543.006591796875,533.843505859375,552.16748046875,1444320.85907636,1338508.85314842,236823.328125,54,29,"190715_Smp_FK180310S80C1-25m_B.mzML","C13",1435005.3522644
"FT0028",42624,75.1004595598875,75.1004104614258,75.1004867553711,536.489501953125,527.914611816406,552.175170898438,4773008.30528831,NA,679747.875,NA,30,"190715_Smp_FK180310S80C1-25m_C.mzML","C13",4726220.09275293
"FT0028",12156,75.100435061915,75.1004028320312,75.100471496582,541.122741699219,531.079467773438,557.094421386719,5454134.05812763,4663944.27250994,761479.1875,30,31,"190715_Smp_FK180310S80C1-DCM_A.mzML","C13",5370818.1757226
"FT0028",12478,75.1004211642495,75.1003952026367,75.1004867553711,539.232116699219,525.367309570312,552.175170898438,6925144.10876602,5503675.87139563,767448.5625,60,32,"190715_Smp_FK180310S80C1-DCM_B.mzML","C13",6916474.28073382
"FT0028",12834,75.1004670581729,75.1004409790039,75.1005325317383,539.898742675781,529.894470214844,550.817993164062,4104882.2448606,3671988.79037551,565120.75,57,33,"190715_Smp_FK180310S80C1-DCM_C.mzML","C13",3995686.21882129
"FT0028",46142,75.1004425222423,75.1004104614258,75.1004867553711,542.561218261719,527.914611816406,552.175170898438,1745683.66885271,NA,116321.5234375,NA,34,"190715_Std_4uMStdsMix1InH2O_1.mzML","C13",1983034.0101068
"FT0028",46656,75.1004551742238,75.1004104614258,75.1004867553711,548.150512695312,527.914611816406,552.175170898438,176422.369061038,NA,36093.5390625,NA,35,"190715_Std_4uMStdsMix1InH2O_2.mzML","C13",510227.689548641
